PosLat	PosLon
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377186
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593008	136.1377185
34.8593009	136.1377185
34.8593009	136.1377185
34.8593009	136.1377185
34.8593009	136.1377185
34.8593009	136.1377185
34.8593009	136.1377185
34.8593009	136.1377185
34.8593009	136.1377185
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
34.8593009	136.1377184
